"Agricultura, ganaderÍa, 
caza y silvicultura",Pesca,"Explotación de 
minas y canteras",Industrias manufactureras,"Suministro de electricidad, 
gas y agua",Construcción,Comercio y reparaciones,Hoteles y restaurantes,"Transporte, almacenamiento
 y comunicación",Intermediación financiera,"Actividades inmobiliarias, 
empresariales y de alquiler",Enseñanza,"Servicios sociales 
y de salud","Servicios comunitarios, 
sociales y personales",Sin especificar,Total,fecha
341.811,13.335,88.116,1248.481,68.162,435.289,1139.672,277.039,551.196,158.501,849.969,368.284,296.218,378.624,0.888,6215.584999999999,2015-02-01
343.811,13.635,88.289,1253.462,68.182,446.448,1136.378,263.642,551.952,158.835,848.721,381.417,296.845,376.254,0.891,6228.762,2015-03-01
336.126,13.343,88.18,1254.039,68.404,451.82,1133.6,259.682,553.122,158.73,844.083,390.056,296.943,375.334,0.863,6224.325,2015-04-01
322.728,13.407,87.907,1252.417,68.97,456.479,1131.788,254.488,553.471,158.978,832.715,392.499,297.137,373.839,0.832,6197.655,2015-05-01
320.13,13.297,87.55,1253.156,69.072,463.08,1135.349,253.791,554.43,159.611,836.936,395.793,298.48,374.545,0.828,6216.048,2015-06-01
317.468,12.846,87.509,1253.682,69.599,464.173,1137.609,258.093,557.265,160.35,835.419,392.391,300.418,375.754,0.831,6223.406999999999,2015-07-01
313.058,12.834,87.566,1253.856,69.735,460.376,1139.796,258.559,558.378,160.261,847.112,395.325,301.41,375.371,0.803,6234.44,2015-08-01
314.835,12.902,87.366,1256.996,69.847,462.628,1140.106,259.965,560.674,160.783,837.456,396.124,302.189,374.885,0.803,6237.559000000001,2015-09-01
314.257,13.061,87.151,1257.388,69.969,460.845,1144.82,262.275,562.54,161.202,853.16,396.49,303.238,375.603,0.834,6262.8330000000005,2015-10-01
316.584,13.006,86.466,1256.44,70.11,453.568,1148.598,263.825,561.927,161.416,857.26,395.425,304.501,376.829,0.805,6266.76,2015-11-01
316.546,12.438,85.735,1252.108,70.209,428.837,1160.322,269.722,563.011,161.516,849.031,391.303,305.565,379.4,0.783,6246.525999999999,2015-12-01
318.691,12.57,85.172,1244.79,70.357,413.642,1164.55,283.398,563.187,162.966,852.109,375.166,307.327,382.459,0.792,6237.176000000001,2016-01-01
325.269,13.202,84.925,1246.794,70.452,410.279,1162.929,279.306,562.513,162.712,854.763,381.397,307.698,384.473,0.819,6247.531000000002,2016-02-01
329.95,13.297,84.3,1246.756,70.387,409.235,1159.123,268.101,561.992,163.373,850.276,394.313,308.383,381.005,0.786,6241.277,2016-03-01
319.809,12.82,83.124,1238.838,70.356,405.767,1151.564,261.623,559.193,163.443,837.079,398.485,308.161,377.514,0.767,6188.543,2016-04-01
312.473,12.59,82.481,1228.417,70.413,405.38,1147.868,257.089,557.867,163.67,826.651,401.356,308.264,377.371,0.726,6152.615999999999,2016-05-01
313.437,12.721,82.204,1223.604,70.598,403.856,1146.476,254.94,556.561,163.202,820.031,403.714,308.329,376.076,0.725,6136.474,2016-06-01
310.912,12.865,81.923,1220.731,70.778,403.573,1148.079,258.455,557.483,163.393,818.943,399.847,309.656,377.909,0.798,6135.344999999999,2016-07-01
312.274,12.516,81.353,1218.039,70.997,409.136,1151.985,257.942,557.839,163.442,818.946,402.496,310.711,377.814,0.794,6146.284000000001,2016-08-01
314.54,12.425,80.88,1215.518,71.03,412.404,1151.523,259.749,557.785,163.268,818.128,402.954,311.52,378.731,0.786,6151.240999999998,2016-09-01
325.67,12.457,80.977,1212.01,71.115,415.202,1155.792,262.402,558.252,163.264,822.231,402.876,312.71,379.655,0.784,6175.396999999999,2016-10-01
325.93,12.618,80.699,1209.466,71.31,421.407,1160.824,266.408,561.699,163.007,827.968,402.301,314.003,381.621,0.799,6200.0599999999995,2016-11-01
322.952,12.437,80.367,1206.036,71.589,413.532,1172.029,271.826,561.807,162.467,834.784,398.118,315.046,382.727,0.801,6206.518,2016-12-01
326.46,12.646,80.074,1203.812,72.082,414.353,1176.303,286.238,561.092,163.426,841.744,381.704,316.673,386.971,0.849,6224.427,2017-01-01
333.032,13.187,79.004,1204.27,72.311,418.845,1170.5,281.269,559.536,163.259,841.771,384.093,317.033,387.643,0.837,6226.59,2017-02-01
336.994,13.336,78.63,1208.457,72.417,431.025,1166.649,270.513,559.44,163.694,843.42,400.242,317.727,385.136,0.77,6248.450000000001,2017-03-01
321.387,12.987,78.162,1201.217,72.375,429.23,1158.413,264.617,556.877,163.161,828.091,403.478,317.12,382.451,0.742,6190.308000000001,2017-04-01
317.219,12.758,77.983,1195.25,72.595,437.355,1160.147,261.536,557.506,163.497,825.386,407.251,317.392,382.233,0.732,6188.84,2017-05-01
317.956,12.896,77.668,1192.939,72.741,442.785,1159.958,260.982,556.811,163.238,824.709,410.174,318.543,381.023,0.747,6193.17,2017-06-01
315.022,12.741,77.858,1191.167,72.959,446.279,1161.919,265.277,558.49,163.293,825.082,408.006,319.492,383.658,0.771,6202.014,2017-07-01
311.003,13.003,77.941,1190.785,73.233,451.912,1165.079,265.02,558.998,163.266,826.467,409.945,320.409,384.174,0.806,6212.040999999998,2017-08-01
314.976,12.967,77.919,1189.108,73.403,457.313,1163.831,266.445,559.051,163.028,825.74,410.355,321.246,385.285,0.817,6221.484,2017-09-01
319.728,12.89,77.762,1190.912,73.534,463.513,1169.985,269.74,560.881,162.976,833.585,410.909,322.386,385.758,0.705,6255.263999999999,2017-10-01
