"Agricultura, ganaderÍa, 
caza y silvicultura",Pesca,"Explotación de 
minas y canteras",Industrias manufactureras,"Suministro de electricidad, 
gas y agua",Construcción,Comercio y reparaciones,Hoteles y restaurantes,"Transporte, almacenamiento
 y comunicación",Intermediación financiera,"Actividades inmobiliarias, 
empresariales y de alquiler",Enseñanza,"Servicios sociales 
y de salud","Servicios comunitarios, 
sociales y personales",Sin especificar,Total,fecha
331.726,13.11,87.914,1246.486,68.162,440.643,1130.1,261.819,550.768,158.59,836.852,381.811,295.386,373.672,0.888,6177.927000000001,2015-02-01
328.938,13.223,88.063,1246.406,68.182,445.922,1132.049,260.373,551.136,158.686,838.106,384.815,296.361,374.603,0.891,6187.753999999998,2015-03-01
331.244,13.273,88.012,1251.814,68.404,452.8,1137.234,262.889,554.059,158.748,842.601,388.364,297.456,376.616,0.863,6224.3769999999995,2015-04-01
326.804,13.381,88.012,1254.796,68.97,457.224,1139.041,262.417,555.204,158.974,840.036,388.252,298.398,376.249,0.832,6228.590000000001,2015-05-01
323.743,13.146,87.751,1255.528,69.072,463.662,1142.282,263.389,556.376,159.728,846.497,388.542,299.398,377.704,0.828,6247.646000000002,2015-06-01
323.85,12.781,87.696,1256.409,69.599,463.282,1143.996,264.054,557.726,160.113,845.054,389.431,300.91,377.467,0.831,6253.199,2015-07-01
323.019,12.935,87.711,1256.952,69.735,460.067,1145.326,264.964,559.202,160.244,856.473,390.506,301.738,377.146,0.803,6266.821,2015-08-01
321.944,13.019,87.492,1258.309,69.847,458.707,1146.79,265.457,560.886,160.695,846.358,390.907,302.424,376.856,0.803,6260.494,2015-09-01
316.641,13.027,87.078,1257.375,69.969,454.534,1148.16,265.475,561.962,161.11,856.31,391.493,303.192,377.024,0.834,6264.184,2015-10-01
315.901,13.063,86.357,1255.314,70.11,446.636,1149.133,264.472,561.245,161.585,855.916,391.978,304.154,376.984,0.805,6253.653,2015-11-01
316.551,12.844,85.747,1252.12,70.209,432.499,1149.251,264.757,561.308,162.04,840.956,392.111,304.934,376.491,0.783,6222.601000000001,2015-12-01
315.449,12.803,85.105,1246.591,70.357,421.624,1150.608,264.458,561.58,162.775,839.965,392.247,306.032,378.051,0.792,6208.437000000002,2016-01-01
314.18,12.951,84.828,1243.92,70.452,415.17,1153.194,264.308,561.469,162.78,840.674,395.449,307.08,379.554,0.819,6206.8279999999995,2016-02-01
316.513,12.873,84.253,1238.942,70.387,409.277,1154.685,264.618,560.998,163.127,838.533,397.077,307.763,379.128,0.786,6198.960000000001,2016-03-01
314.513,12.786,82.852,1236.564,70.356,406.381,1154.95,264.8,560.411,163.478,836.665,396.566,308.651,378.852,0.767,6188.592,2016-04-01
316.256,12.676,82.575,1229.924,70.413,405.57,1154.037,265.007,559.356,163.569,833.398,396.854,309.425,379.818,0.726,6179.604000000001,2016-05-01
