Alimentos y tabaco,"Textiles, confecciones, cuero y calzado",Madera y papel,Química y petroquímica,Metalmecánica,Automotores y neumáticos,Otras manufacturas,fecha
373.158,151.595,83.734,175.353,232.97,95.307,134.367,2015-02-01
372.738,151.913,83.832,175.636,232.819,95.553,133.915,2015-03-01
373.922,152.969,84.225,175.769,233.913,95.458,135.558,2015-04-01
374.68,153.619,84.357,176.283,234.355,95.369,136.133,2015-05-01
374.703,154.069,84.464,176.255,234.41,95.408,136.219,2015-06-01
374.306,154.443,84.403,176.448,235.04,95.353,136.416,2015-07-01
375.06,154.831,84.453,176.41,234.921,94.885,136.392,2015-08-01
375.775,155.279,84.496,176.267,235.462,94.777,136.254,2015-09-01
375.234,155.349,84.531,175.514,235.613,94.46,136.674,2015-10-01
374.91,155.501,84.532,175.586,234.449,94.173,136.162,2015-11-01
374.051,155.46,84.427,175.1,233.389,93.604,136.09,2015-12-01
373.309,155.289,85.001,174.222,231.618,93.383,133.769,2016-01-01
372.969,155.051,84.846,174.444,229.929,93.011,133.67,2016-02-01
371.651,154.587,84.557,173.767,228.61,92.973,132.797,2016-03-01
372.203,154.213,84.465,173.783,227.723,92.546,131.631,2016-04-01
371.419,153.469,83.985,173.084,225.772,92.072,130.123,2016-05-01
371.861,152.726,83.858,172.757,224.754,91.777,129.246,2016-06-01
372.332,151.924,83.586,172.534,223.419,91.167,128.452,2016-07-01
371.797,151.1,83.352,172.299,222.384,91.008,128.018,2016-08-01
371.624,149.89,82.993,171.866,221.824,90.652,127.853,2016-09-01
371.259,148.954,82.883,171.743,221.333,90.118,127.163,2016-10-01
371.469,147.893,82.585,169.198,220.942,89.825,126.587,2016-11-01
372.076,146.947,82.27,169.198,220.545,89.563,125.876,2016-12-01
372.276,145.673,82.144,169.171,220.811,89.573,125.125,2017-01-01
371.17,144.529,81.956,168.802,220.955,89.513,124.699,2017-02-01
372.023,143.363,81.769,168.61,221.188,89.703,124.521,2017-03-01
372.045,142.129,81.498,168.35,221.432,89.356,124.267,2017-04-01
372.405,140.827,81.436,166.727,222.12,89.344,123.886,2017-05-01
372.276,139.764,81.239,166.502,222.561,89.098,123.806,2017-06-01
371.551,138.993,81.125,166.417,222.952,89.126,123.696,2017-07-01
371.436,137.735,81.01,166.355,223.166,89.096,123.702,2017-08-01
370.292,136.952,81.104,166.461,223.307,89.228,123.646,2017-09-01
370.539,136.514,81.101,166.558,223.884,89.607,123.836,2017-10-01
371.974,135.86,81.244,166.602,224.281,89.781,123.435,2017-11-01
372.224,135.029,81.113,166.537,224.592,89.639,123.529,2017-12-01
371.595,134.112,80.994,166.413,224.471,89.036,123.569,2018-01-01
371.006,133.149,80.781,166.003,223.895,88.971,123.433,2018-02-01
371.446,131.939,80.629,165.606,223.268,89.134,123.056,2018-03-01
371.35,131.664,80.751,161.946,223.681,89.858,122.937,2018-04-01
370.794,130.144,80.514,161.238,222.768,89.835,122.452,2018-05-01
369.247,128.356,80.07,160.916,221.608,89.365,121.046,2018-06-01
368.788,126.879,79.697,160.081,220.317,89.184,119.989,2018-07-01
368.47,125.457,79.265,159.462,219.518,88.836,119.144,2018-08-01
366.804,123.726,78.739,158.452,218.106,88.366,117.845,2018-09-01
366.256,121.491,78.193,157.536,216.837,87.753,116.749,2018-10-01
364.378,119.197,77.681,156.66,215.189,86.943,115.5,2018-11-01
364.089,118.379,77.583,156.525,215.054,86.116,115.457,2018-12-01
364.149,116.874,77.014,156.052,214.323,85.383,115.447,2019-01-01
364.083,116.171,76.682,155.815,214.353,84.652,114.907,2019-02-01
362.778,114.691,76.155,155.189,213.194,84.209,114.044,2019-03-01
362.837,113.451,75.881,155.167,212.2,82.903,113.749,2019-04-01
363.092,112.652,75.613,154.387,212.057,82.24,113.234,2019-05-01
363.264,112.128,75.41,153.87,211.507,81.65,112.57,2019-06-01
